customer_id,age,gender,country,session_duration,pages_viewed,products_viewed,cart_items,purchases,total_spent,last_login_days,preferred_device,membership,churn
1,56,Male,Ghana,27.25647448336955,6,9,5,3,139.77295608099985,7,Mobile,Basic,0
2,46,Female,USA,35.72513287625523,49,5,5,2,387.56694560434937,4,Mobile,Basic,0
3,32,Male,UK,26.128740949404488,17,5,1,3,175.381797392287,53,Mobile,Premium,0
4,60,Male,Ghana,30.348922180111035,25,8,4,2,253.552871795526,55,Desktop,Basic,0
5,25,Male,Ghana,52.365529490447045,24,2,0,0,63.06084301313115,8,Mobile,Premium,0
6,38,Male,Canada,33.572668635325556,22,7,8,3,253.60744714846345,32,Desktop,Basic,0
7,56,Male,Germany,34.37496226925976,13,17,8,1,167.41825550436604,19,Mobile,Premium,0
8,36,Female,Canada,15.274300128110225,17,11,2,2,220.74647770775076,54,Desktop,Premium,0
9,40,Female,UK,43.542875233450005,14,15,4,4,242.1444433009596,12,Mobile,Premium,0
10,28,Male,Ghana,40.66465085323267,34,3,2,3,156.4424101392062,57,Desktop,Premium,0
11,28,Male,Canada,22.855508907082015,26,13,6,0,236.53906614414916,10,Desktop,Basic,0
12,41,Male,Germany,40.467259343717366,19,18,0,4,107.94433100289163,14,Mobile,Basic,0
13,53,Female,UK,33.29801227340021,26,3,4,0,201.908296213067,27,Mobile,Premium,0
14,57,Female,USA,30.464158986065716,3,2,5,2,239.20226026540817,44,Mobile,Premium,0
15,41,Male,Canada,42.90955646274999,2,5,6,3,154.44483289704016,21,Desktop,Premium,0
16,20,Male,UK,24.8770142692927,28,5,2,0,120.58005592098594,20,Desktop,Premium,0
17,39,Female,USA,22.776449443201496,2,13,6,4,161.10359020499723,57,Desktop,Basic,0
18,19,Male,Canada,32.07563320337005,22,8,3,4,284.81485330594586,4,Desktop,Basic,0
19,41,Female,UK,35.282288145376306,7,16,9,1,272.5471014695961,19,Mobile,Premium,0
20,61,Female,UK,39.66315886693836,4,18,5,0,258.4643863950537,29,Desktop,Premium,0
21,47,Male,Canada,28.49047048253395,49,16,4,3,320.6265075043007,7,Mobile,Premium,0
22,55,Female,UK,21.502288834093513,38,1,3,3,200.50379939639663,53,Desktop,Premium,0
23,19,Male,Ghana,55.285677179649284,39,8,5,1,214.07150015669174,33,Mobile,Premium,0
24,38,Male,Canada,19.134054389610377,20,2,2,4,40.562764329341746,8,Desktop,Premium,0
25,50,Male,UK,30.55118123289529,6,5,2,0,127.19850727591081,11,Desktop,Basic,0
26,29,Male,USA,37.797055245476116,9,15,4,4,240.91781061666944,33,Mobile,Premium,0
27,39,Male,USA,41.51122615037835,31,14,4,0,269.4577270826244,25,Desktop,Premium,0
28,61,Male,Ghana,24.32839821252282,26,3,8,0,96.57948641250812,33,Desktop,Premium,1
29,42,Female,Canada,11.250823055922968,36,7,3,0,192.55285770116893,36,Desktop,Premium,1
30,44,Female,UK,24.09734826537329,26,4,4,4,372.75314970474494,26,Mobile,Premium,0
31,59,Female,UK,38.61322510213885,28,11,8,4,192.98267948332764,36,Desktop,Premium,0
32,45,Female,USA,36.37496481495238,5,12,3,4,315.58684099413694,11,Mobile,Premium,0
33,33,Male,Ghana,36.70122358888075,10,15,2,2,227.78306934171258,30,Desktop,Basic,0
34,32,Female,USA,37.116640860743736,18,6,6,4,244.90949072834613,57,Desktop,Premium,0
35,64,Female,USA,43.40084232680508,15,1,6,1,127.24163088272236,33,Mobile,Basic,0
36,61,Female,Ghana,22.241115547052086,33,18,7,2,71.28386165388366,10,Mobile,Premium,0
37,20,Male,Canada,18.02102004272396,5,14,3,0,257.79264053906155,29,Mobile,Basic,0
38,54,Female,UK,33.70480245263756,37,7,3,3,224.56836611400414,25,Desktop,Basic,0
39,24,Male,Canada,19.514753104318103,40,10,8,2,204.84546456373658,32,Mobile,Basic,0
40,38,Female,Germany,17.390846505149945,22,9,9,2,93.83153154796128,4,Desktop,Basic,0
41,26,Male,Germany,42.23959909907136,22,2,6,0,171.4589648521199,55,Desktop,Premium,1
42,56,Male,Germany,32.50359817075813,22,8,2,4,150.6663270878371,57,Mobile,Basic,0
43,35,Female,Ghana,30.284931490450862,15,1,8,4,158.49995517638388,59,Desktop,Premium,0
44,21,Male,USA,30.492739967653154,17,2,4,2,218.27816200734947,39,Desktop,Premium,0
45,42,Male,Canada,28.938609901753345,45,7,3,4,256.4983384407067,34,Desktop,Premium,0
46,31,Female,UK,42.17240645326574,28,16,0,2,222.8860668503288,22,Desktop,Premium,0
47,26,Female,Germany,14.853840948042162,22,4,8,3,215.55689727070109,13,Mobile,Basic,0
48,43,Female,Canada,14.439764187995813,21,17,5,3,209.08149228820116,54,Desktop,Premium,0
49,19,Male,Germany,20.636184814120913,42,4,1,0,186.0181495905127,51,Desktop,Basic,1
50,37,Male,Germany,32.89161647739952,17,3,6,1,133.54672058187572,36,Mobile,Basic,0
51,45,Male,UK,48.05343739878488,5,9,2,1,203.74768579160366,6,Mobile,Premium,0
52,64,Female,Ghana,38.69083991505273,18,15,5,4,259.7820867097766,59,Desktop,Premium,0
53,24,Male,USA,35.92442714224097,17,3,7,1,190.77624888555738,54,Mobile,Basic,0
54,61,Male,Ghana,29.201330687154744,4,12,2,3,126.37092855066804,17,Mobile,Basic,0
55,25,Male,Canada,16.674700860040694,7,15,4,0,104.34844552121407,26,Desktop,Basic,0
56,64,Male,Ghana,35.14989824087164,25,8,5,3,123.69740960632923,24,Mobile,Premium,0
57,52,Male,Canada,50.259670658351325,37,12,0,2,108.50131684028364,9,Desktop,Basic,0
58,31,Male,Canada,27.599423444914713,40,13,9,4,431.29694798711864,2,Desktop,Premium,0
59,34,Male,USA,24.39326635246067,40,15,6,4,129.78169209265508,20,Desktop,Basic,0
60,53,Female,UK,27.647568036097066,43,11,3,1,196.92555513907283,27,Mobile,Basic,0
61,57,Female,USA,35.997511384924195,9,17,9,2,193.05841525331903,6,Desktop,Premium,0
62,21,Female,Ghana,31.117301852519322,19,12,6,1,313.06518667227874,50,Desktop,Basic,0
63,19,Male,Canada,39.10014111114721,9,18,6,1,234.34992603250046,27,Desktop,Premium,0
64,23,Male,Germany,29.66549125750175,23,16,4,1,233.959560843759,55,Mobile,Basic,0
65,59,Female,Germany,27.589883703542192,31,3,7,2,213.95085324259477,54,Mobile,Premium,0
66,21,Male,Canada,32.290059799542455,32,9,7,1,222.00746023998175,24,Desktop,Premium,0
67,46,Female,USA,24.603478231693217,31,7,4,4,225.78041249371148,15,Desktop,Premium,0
68,35,Male,UK,47.40764941444638,17,19,4,1,149.80738893413138,55,Mobile,Basic,0
69,43,Male,USA,38.23114398116615,48,5,6,2,126.61123879305278,48,Desktop,Premium,0
70,61,Female,Canada,19.00301412594338,39,19,5,2,204.69136425400322,58,Mobile,Premium,0
71,51,Female,Canada,22.542408284658617,22,10,3,3,157.04616200642147,33,Desktop,Basic,0
72,27,Female,UK,35.65337005166104,35,12,1,1,214.74933310472858,42,Mobile,Premium,0
73,53,Female,Ghana,31.83317545996414,30,8,7,2,113.65876183153277,10,Desktop,Premium,0
74,31,Female,Ghana,33.02511709348074,40,3,2,1,82.09935937448192,21,Desktop,Basic,0
75,48,Male,UK,28.07872529383858,37,19,1,0,97.65411440944432,6,Mobile,Basic,0
76,32,Male,Ghana,34.551730365254336,26,11,9,4,194.08973989467162,30,Mobile,Premium,0
77,25,Male,Germany,28.313941314962918,6,8,6,4,70.75450533939662,23,Mobile,Basic,0
78,31,Female,Ghana,35.63379543409591,34,13,9,1,355.9727801881121,36,Desktop,Basic,0
79,40,Female,Ghana,37.73028231250898,32,10,5,4,356.1785775836262,46,Mobile,Premium,0
80,57,Female,Ghana,46.067403366381605,25,18,7,4,270.8394613913654,57,Mobile,Basic,0
81,38,Female,Germany,24.8530075705404,13,12,5,0,170.44727021271444,49,Mobile,Basic,1
82,33,Female,Ghana,29.888813681744594,38,7,6,4,161.3118822447849,3,Mobile,Premium,0
83,62,Female,Germany,17.81018589103833,38,11,1,4,223.72286655670138,26,Mobile,Basic,0
84,35,Male,UK,48.26261417039093,2,10,9,2,247.72964131054226,34,Mobile,Premium,0
85,64,Male,USA,10.245120427961588,5,3,1,4,223.70062698859778,30,Desktop,Premium,0
86,41,Male,UK,46.82869388531809,11,7,5,1,95.16212847100186,18,Mobile,Basic,0
87,43,Male,USA,30.93469582291141,11,4,8,4,184.80730343429204,17,Mobile,Premium,0
88,42,Male,UK,34.184279304866465,24,8,2,1,242.6612603983399,45,Mobile,Basic,0
89,62,Female,USA,28.343309062703486,14,8,9,4,11.076928800485518,51,Desktop,Premium,0
90,58,Female,USA,30.31100658113292,45,6,7,1,111.5751108390904,42,Mobile,Premium,0
91,46,Female,Canada,35.88084599744503,30,13,4,4,242.06956108451712,21,Desktop,Basic,0
92,32,Female,USA,13.633525381787418,40,12,5,1,175.02882255145937,54,Mobile,Basic,0
